Filename,Label,Area,No. of peaks,Length
COR_12_19_Hos,0,4997.0,2,265.0
COR_12_19_Hos,1,17995.0,2,268.0
COR_12_20_Hos,0,15669.0,3,44.0
COR_12_20_Hos,0,16315.5,3,47.0
COR_12_20_Hos,0,14914.5,4,49.0
COR_12_20_Hos,0,11692.0,4,51.0
COR_12_20_Hos,0,6133.5,6,55.0
COR_12_20_Hos,0,6209.5,5,57.0
COR_12_20_Hos,0,3359.0,1,71.0
COR_12_20_Hos,0,6222.5,2,84.0
COR_12_20_Hos,0,9746.5,4,90.0
COR_12_20_Hos,0,12286.0,3,93.0
COR_12_20_Hos,0,2670.5,1,105.0
COR_12_20_Hos,0,16457.0,2,110.0
COR_12_20_Hos,0,20763.0,2,116.0
COR_12_20_Hos,0,9025.5,2,119.0
COR_12_20_Hos,0,1150.0,1,156.0
COR_12_20_Hos,0,3115.5,2,159.0
COR_12_20_Hos,0,5261.0,3,163.0
COR_12_20_Hos,0,916.5,1,203.0
COR_12_20_Hos,0,8003.0,1,214.0
COR_12_20_Hos,0,1383.5,1,253.0
COR_12_20_Hos,0,5792.5,2,257.0
COR_12_20_Hos,1,32026.0,2,261.0
COR_12_20_Hos,0,29634.0,2,265.0
COR_12_20_Hos,0,8170.5,4,268.0
COR_12_20_Hos,1,30601.0,3,272.0
COR_12_20_Hos,0,1844.5,1,342.0
COR_12_20_Hos,0,2640.5,1,353.0
COR_12_20_Hos,0,3916.0,1,395.0
COR_12_21_Hos,0,29614.0,2,43.0
COR_12_21_Hos,0,26628.0,3,47.0
COR_12_21_Hos,0,25709.0,4,49.0
COR_12_21_Hos,0,21165.5,4,51.0
COR_12_21_Hos,0,12106.5,6,55.0
COR_12_21_Hos,0,11372.0,4,57.0
COR_12_21_Hos,0,8743.0,4,62.0
COR_12_21_Hos,0,8849.5,4,65.0
COR_12_21_Hos,0,17669.0,3,69.0
COR_12_21_Hos,0,22101.0,3,84.0
COR_12_21_Hos,0,30068.0,3,90.0
COR_12_21_Hos,0,18471.5,3,93.0
COR_12_21_Hos,0,8191.5,3,105.0
COR_12_21_Hos,0,42902.5,3,110.0
COR_12_21_Hos,0,133279.5,1,119.0
COR_12_21_Hos,0,11454.0,3,127.0
COR_12_21_Hos,0,10399.5,3,133.0
COR_12_21_Hos,0,3707.0,1,164.0
COR_12_21_Hos,0,4207.5,4,173.0
COR_12_21_Hos,0,5773.0,3,174.0
COR_12_21_Hos,0,4872.5,1,192.0
COR_12_21_Hos,0,33597.0,1,214.0
COR_12_21_Hos,0,6376.0,1,224.0
COR_12_21_Hos,0,2796.5,2,239.0
COR_12_21_Hos,0,3820.0,2,255.0
COR_12_21_Hos,0,5907.5,2,264.0
COR_12_21_Hos,0,19464.0,2,268.0
COR_12_21_Hos,1,67635.0,2,272.0
COR_12_21_Hos,0,59326.0,4,278.0
COR_12_21_Hos,0,3179.0,1,318.0
COR_12_21_Hos,0,18472.5,1,352.0
COR_12_21_Hos,0,1803.0,1,365.0
COR_12_21_Hos,0,3100.5,2,370.0
COR_12_21_Hos,0,12328.0,1,394.0
COR_12_21_Hos,0,8621.0,1,422.0
COR_12_22_Hos,0,48101.0,2,43.0
COR_12_22_Hos,0,45400.0,3,47.0
COR_12_22_Hos,0,44347.5,4,49.0
COR_12_22_Hos,0,33621.0,5,51.0
COR_12_22_Hos,0,21227.0,4,53.0
COR_12_22_Hos,0,17069.5,3,57.0
COR_12_22_Hos,0,9496.5,5,62.0
COR_12_22_Hos,0,15069.5,4,65.0
COR_12_22_Hos,0,32678.0,3,69.0
COR_12_22_Hos,0,31854.5,3,73.0
COR_12_22_Hos,0,30389.5,2,83.0
COR_12_22_Hos,0,41373.0,2,88.0
COR_12_22_Hos,0,40652.5,3,92.0
COR_12_22_Hos,0,8339.0,2,105.0
COR_12_22_Hos,0,14349.5,4,119.0
COR_12_22_Hos,0,17420.0,3,121.0
COR_12_22_Hos,0,18130.0,4,123.0
COR_12_22_Hos,0,16897.5,3,127.0
COR_12_22_Hos,0,15051.5,2,133.0
COR_12_22_Hos,0,2368.5,1,155.0
COR_12_22_Hos,0,3955.0,2,164.0
COR_12_22_Hos,0,4807.0,1,178.0
COR_12_22_Hos,0,5590.5,1,192.0
COR_12_22_Hos,0,38467.0,2,214.0
COR_12_22_Hos,0,4683.0,2,224.0
COR_12_22_Hos,0,3738.0,2,239.0
COR_12_22_Hos,0,5346.5,2,261.0
COR_12_22_Hos,0,17409.5,3,264.0
COR_12_22_Hos,1,74623.0,2,268.0
COR_12_22_Hos,0,63471.5,2,272.0
COR_12_22_Hos,0,15026.5,4,278.0
COR_12_22_Hos,0,2571.0,2,318.0
COR_12_22_Hos,0,2282.0,2,326.0
COR_12_22_Hos,0,35877.0,1,351.0
COR_12_22_Hos,0,2659.0,1,372.0
COR_12_22_Hos,0,1661.0,1,415.0
COR_12_22_Hos,0,3989.5,1,423.0
COR_12_22_Hos,0,4047.5,1,434.0
COR_12_23_Hos,0,66507.5,2,44.0
COR_12_23_Hos,0,63971.0,3,47.0
COR_12_23_Hos,0,61985.5,4,49.0
COR_12_23_Hos,0,44161.5,4,51.0
COR_12_23_Hos,0,10918.0,6,55.0
COR_12_23_Hos,0,10745.0,5,57.0
COR_12_23_Hos,0,14005.0,4,65.0
COR_12_23_Hos,0,32850.0,3,69.0
COR_12_23_Hos,0,33362.5,3,73.0
COR_12_23_Hos,0,32668.0,2,84.0
COR_12_23_Hos,0,39785.0,4,88.0
COR_12_23_Hos,0,43956.0,5,90.0
COR_12_23_Hos,0,33047.0,4,93.0
COR_12_23_Hos,0,7217.5,1,105.0
COR_12_23_Hos,0,18354.0,3,119.0
COR_12_23_Hos,0,21385.0,3,121.0
COR_12_23_Hos,0,22423.0,4,123.0
COR_12_23_Hos,0,56343.5,3,127.0
