Unnamed: 0.1,Hsc 20,Hsc 20.1,Height_column1,Height_column2,Index_column3,Index_column4
ILO_CON_12_16_Hos,200.0,226.0,8021.0,1678.0,2840.0,3133.0
ILO_CON_12_17_Hos,216.0,230.0,3813.0,1017.0,3073.0,3222.0
ILO_CON_12_18_Hos,230.0,230.0,5961.0,5961.0,3182.0,3182.0
ILO_CON_12_19_Hos,218.0,230.0,5298.0,4517.0,3049.0,3176.0
ILO_CON_12_20_Hos,210.0,222.0,6584.0,3172.0,2935.0,3057.0
ILO_CON_12_21_Hos,212.0,212.0,314.0,314.0,2939.0,2939.0
ILO_CON_12_23_Hos,218.0,230.0,1909.0,1297.0,3034.0,3160.0
ILO_CON_12_24_Hos,214.0,242.0,5885.0,1504.0,2988.0,3280.0
ILO_CON_12_25_Hos,208.0,218.0,7800.0,2845.0,2956.0,3062.0
ILO_CON_12_26_Hos,224.0,228.0,10719.0,3610.0,3106.0,3149.0
ILO_CON_12_27_Hos,200.0,224.0,15858.0,4734.0,2801.0,3070.0
ILO_CON_12_28_Hos,218.0,218.0,15447.0,15447.0,2984.0,2984.0
ILO_CON_12_29_Hos,218.0,220.0,7833.0,7833.0,2990.0,2990.0
ILO_CON_12_30_Hos,216.0,218.0,7760.0,7760.0,2965.0,2965.0
ILO_CON_12_31_Hos,224.0,224.0,5759.0,5759.0,3083.0,3083.0
ILO_CON_12_32_Hos,212.0,226.0,11947.0,4446.0,2984.0,3131.0
ILO_CON_12_33_Hos,214.0,214.0,11602.0,11602.0,3041.0,3041.0
ILO_CON_12_34_Hos,216.0,224.0,12916.0,5705.0,3018.0,3098.0
ILO_CON_12_35_Hos,212.0,222.0,12157.0,6534.0,2972.0,3076.0
ILO_CON_12_36_Hos,214.0,222.0,7891.0,3242.0,2986.0,3068.0
ILO_CON_12_37_Hos,212.0,214.0,12104.0,12104.0,2923.0,2923.0
ILO_CON_12_38_Hos,210.0,216.0,5510.0,6409.0,2888.0,2950.0
ILO_CON_12_40_Hos,216.0,216.0,4934.0,4934.0,3027.0,3027.0
ILO_CON_12_41_Hos,224.0,234.0,1456.0,2695.0,3123.0,3227.0
POP,,,,,,
ILO_TIG_12_42_Hos,194.0,200.0,4828.0,6839.0,2736.0,2797.0
ILO_TIG_12_43_Hos,200.0,214.0,13052.0,8453.0,2805.0,2969.0
